"Gene1","Gene2"
"RPL31","GAPDH"
"RPL18","RPL37A"
"RPL13","EEF1A1"
"RPL28","EEF2"
"RPS16","LDHB"
"RPL8","EEF1A1"
"RPL13","GAPDH"
"GAPDH","RPS17"
"RPL37A","EEF2"
"EEF2","GAPDH"
"RPS29","EEF2"
"EEF2","RPS17"
"LDHA","EEF1A1"
"EEF2","RPS19"
"RPLP0","ENO1"
"LDHA","LDHB"
"HSP90AB1","GAPDH"
"RPS15","ENO1"
"FN1","TERT"
"RPL18","GAPDH"
"RPS3A","GAPDH"
"LDHA","RPLP0"
"RPLP0","LDHB"
"LHCGR","TERT"
"RPS28","GAPDH"
"EEF2","STK11"
"FN1","LHCGR"
"RPS10","LDHA"
"RPL8","ENO1"
"RPS4X","LDHB"
"LHCGR","DMRT1"
"EEF2","KIT"
"LDHA","RPS18"
"RPS9","LDHB"
"RPS15","LDHA"
"HSP90AB1","LDHB"
"RPS3A","HSP90AB1"
"RPL12","LDHB"
"RPS2","LDHB"
"RPS3A","LDHB"
"HSP90AB1","EEF2"
"RPL19","ENO1"
"RPS4X","LDHA"
"RPL37A","ENO1"
"RPS2","ENO1"
"RPL41","LDHA"
"RPS2","HSP90AB1"
"LDHB","BCL10"
"EEF2","ENO1"
"EEF1A1","ESR2"
"LDHB","GAPDH"
"RPS15","ATF7IP"
"RPL8","TERT"
"RPL13","LDHB"
"RPL31","ESR1"
"HSP90AB1","RPS18"
"STK10","STK11"
"RPS25","LDHA"
"RPL13","HSP90AB1"
"RPS18","ESR2"
"RPS9","ENO1"
"RPS29","LDHA"
"HSP90AB1","RPL8"
"RPS16","LDHA"
"RPLP1","POLG"
"RPS16","HSP90AB1"
"RPL41","ESR2"
"ENO1","RPS19"
"LDHA","RPLP1"
"RPS16","ENO1"
"LDHB","RPS19"
"RPS4X","ATF7IP"
"RPS29","LDHB"
"RPL12","LDHA"
"RPS10","LDHB"
"RPL41","ATF7IP"
"RPLP1","LDHB"
"RPL41","HSP90AB1"
"RPS18","LDHB"
"LDHB","EEF1A1"
"RPL28","HSP90AB1"
"RPS15","LDHB"
"RPL41","LDHB"
"LDHB","POLG"
"RPS29","ESR2"
"HSP90AB1","EEF1A1"
"LHCGR","KITLG"
"LHCGR","ESR2"
"RPL18","KIT"
"RPL19","KITLG"
"LDHB","KIT"
