"Gene Symbol","miRNA","Validated"
"FOS","hsa-miR-146a","0"
"SLC45A3","hsa-miR-659","0"
"AZGP1","hsa-miR-346","0"
"RPLP0","hsa-miR-892b","0"
"AZGP1","hsa-miR-26b","0"
"MYLK","hsa-miR-15a","0"
"TPT1","hsa-miR-143","0"
"B2M","hsa-miR-130a","0"
"RPS6","hsa-miR-215","0"
"TNS1","hsa-miR-183","0"
"CRISP3","hsa-miR-141","0"
"GAPDH","hsa-miR-484","1"
"TPT1","hsa-miR-141","0"
"B2M","hsa-miR-22","0"
"EEF1A1","hsa-miR-20a","0"
"NPY","hsa-miR-99a","0"
"FOS","hsa-miR-30a","0"
"TAGLN","hsa-miR-34a","0"
"TPT1","hsa-miR-27a","0"
"RPS6","hsa-miR-758","0"
"TPT1","hsa-miR-489","0"
"GAPDH","hsa-miR-155","0"
"ZFP36","hsa-let-7i","0"
"RPLP0","hsa-miR-320a","0"
"RPLP1","hsa-miR-320a","1"
"RPLP1","hsa-miR-155","0"
"RPL19","hsa-miR-215","0"
"RPLP1","hsa-miR-200a","0"
"OLFM4","hsa-let-7c","0"
"FOS","hsa-miR-18a","0"
"TPT1","hsa-miR-484","0"
"CRISP3","hsa-miR-33a","0"
"TPT1","hsa-miR-147","0"
"TPT1","hsa-miR-298","0"
"TPT1","hsa-miR-302d","0"
"TPT1","hsa-miR-498","0"
"TPT1","hsa-miR-657","0"
"TPT1","hsa-miR-373","0"
"TPT1","hsa-miR-618","0"
"RPL32","hsa-miR-215","0"
"MYLK","hsa-miR-659","0"
"CRISP3","hsa-miR-200a","0"
"TPM1","hsa-miR-155","0"
"OLFM4","hsa-let-7d","0"
"SYNPO2","hsa-miR-155","0"
"EEF2","hsa-miR-296","0"
"NR4A1","hsa-miR-214","0"
"RPL15","hsa-miR-943","0"
"TPT1","hsa-miR-106a","0"
"FOS","hsa-miR-185","0"
"CRISP3","hsa-miR-577","0"
"FOS","hsa-miR-30e","0"
"RPS6","hsa-let-7i","0"
"TPT1","hsa-miR-92b","0"
"CRISP3","hsa-miR-221","0"
"RPL8","hsa-miR-320a","1"
"FOS","hsa-miR-206","0"
"RDH11","hsa-miR-449a","0"
"SYNM","hsa-miR-429","0"
"PABPC1","hsa-miR-186","0"
"FOS","hsa-miR-155","0"
"RPL8","hsa-miR-152","0"
"OLFM4","hsa-let-7e","0"
"RPS18","hsa-miR-421","1"
"AHNAK","hsa-miR-20b","0"
"FOS","hsa-let-7e","0"
"PABPC1","hsa-miR-27b","0"
"RPS18","hsa-miR-638","0"
"SYNM","hsa-miR-185","0"
"TPM2","hsa-miR-183","0"
"HSP90AA1","hsa-miR-760","1"
"RPS18","hsa-miR-449a","0"
"RPLP1","hsa-miR-23b","0"
"B2M","hsa-miR-618","0"
"FOS","hsa-miR-200a","0"
"CRISP3","hsa-miR-1262","0"
"RPLP1","hsa-miR-148a","0"
"OLFM4","hsa-miR-616","0"
"RDH11","hsa-miR-34a","0"
"B2M","hsa-miR-520h","0"
"B2M","hsa-miR-620","0"
"B2M","hsa-miR-626","0"
"B2M","hsa-miR-650","0"
"FOS","hsa-miR-802","0"
"FOS","hsa-miR-622","0"
"FOS","hsa-miR-569","0"
"FOS","hsa-miR-603","0"
"GAPDH","hsa-miR-198","0"
"GAPDH","hsa-miR-617","0"
"RPLP0","hsa-miR-484","1"
"RPLP1","hsa-miR-141","0"
"RPL19","hsa-miR-520g","0"
"RPL19","hsa-miR-520h","0"
"PABPC1","hsa-miR-146a","0"
"TPM1","hsa-miR-616","0"
"OLFM4","hsa-miR-222","0"
